CODE_INSEE,ville,CODE POSTAL,DEPARTEMENT
91021,arpajon,91290,ESSONNE
91075,bois-herpin,91150,ESSONNE
91100,bouville,91880,ESSONNE
91225,etiolles,91450,ESSONNE
91286,grigny,91350,ESSONNE
91538,st-aubin,91190,ESSONNE
91639,vayres-sur-essonne,91820,ESSONNE
92014,bourg-la-reine,92340,HAUTS-DE-SEINE
92040,issy-les-moulineaux,92130,HAUTS-DE-SEINE
93032,gagny,93220,SEINE-SAINT-DENIS
94015,bry-sur-marne,94360,VAL-DE-MARNE
94017,champigny-sur-marne,94500,VAL-DE-MARNE
95040,avernes,95450,VAL-D\'OISE
95150,chaussy,95710,VAL-D\'OISE
95197,deuil-la-barre,95170,VAL-D\'OISE
95210,enghien-les-bains,95880,VAL-D\'OISE
95422,montgeroult,95650,VAL-D\'OISE
95430,montsoult,95560,VAL-D\'OISE
95446,nesles-la-vallee,95690,VAL-D\'OISE
95527,roissy-en-france,95700,VAL-D\'OISE
95563,st-leu-la-foret,95320,VAL-D\'OISE
95625,us,95450,VAL-D\'OISE
75119,paris-19,75019,PARIS
77016,bagneaux-sur-loing,77167,SEINE-ET-MARNE
77049,boutigny,77470,SEINE-ET-MARNE
77054,la-brosse-montceaux,77940,SEINE-ET-MARNE
77138,courtomer,77390,SEINE-ET-MARNE
77144,crevecoeur-en-brie,77610,SEINE-ET-MARNE
77174,everly,77157,SEINE-ET-MARNE
77176,faremoutiers,77515,SEINE-ET-MARNE
77181,ferrieres-en-brie,77164,SEINE-ET-MARNE
77185,fleury-en-biere,77930,SEINE-ET-MARNE
77203,germigny-l-eveque,77910,SEINE-ET-MARNE
77319,mortery,77160,SEINE-ET-MARNE
77337,noisiel,77186,SEINE-ET-MARNE
77345,orly-sur-morin,77750,SEINE-ET-MARNE
77349,othis,77280,SEINE-ET-MARNE
77368,poigny,77160,SEINE-ET-MARNE
77376,precy-sur-marne,77410,SEINE-ET-MARNE
77416,st-just-en-brie,77370,SEINE-ET-MARNE
77436,st-simeon,77169,SEINE-ET-MARNE
77473,treuzy-levelay,77710,SEINE-ET-MARNE
77514,villeparisis,77270,SEINE-ET-MARNE
78009,allainville,78660,YVELINES
78172,conflans-ste-honorine,78700,YVELINES
78209,emance,78125,YVELINES
78368,mareil-sur-mauldre,78124,YVELINES
78455,noisy-le-roi,78590,YVELINES
91105,breuillet,91650,ESSONNE
91560,st-jean-de-beauregard,91940,ESSONNE
94069,st-maurice,94410,VAL-DE-MARNE
95019,arnouville,95400,VAL-D\'OISE
95042,baillet-en-france,95560,VAL-D\'OISE
95119,buhy,95770,VAL-D\'OISE
95250,fosses,95470,VAL-D\'OISE
95392,meriel,95630,VAL-D\'OISE
95523,la-roche-guyon,95780,VAL-D\'OISE
95682,villiers-le-sec,95720,VAL-D\'OISE
91148,chauffour-les-etrechy,91580,ESSONNE
91414,monnerville,91930,ESSONNE
92036,gennevilliers,92230,HAUTS-DE-SEINE
77014,avon,77210,SEINE-ET-MARNE
77063,la-celle-sur-morin,77515,SEINE-ET-MARNE
77095,charny,77410,SEINE-ET-MARNE
77112,chevrainvilliers,77760,SEINE-ET-MARNE
77187,fontaine-fourches,77480,SEINE-ET-MARNE
77252,limoges-fourches,77550,SEINE-ET-MARNE
77272,maison-rouge,77370,SEINE-ET-MARNE
77274,marcilly,77139,SEINE-ET-MARNE
75101,paris-01,75001,PARIS
75118,paris-18,75018,PARIS
77307,montevrain,77144,SEINE-ET-MARNE
77308,montge-en-goele,77230,SEINE-ET-MARNE
77326,nandy,77176,SEINE-ET-MARNE
77373,pontault-combault,77340,SEINE-ET-MARNE
77387,remauville,77710,SEINE-ET-MARNE
77399,st-ange-le-viel,77710,SEINE-ET-MARNE
77409,st-germain-laval,77130,SEINE-ET-MARNE
77459,sourdun,77171,SEINE-ET-MARNE
77469,touquin,77131,SEINE-ET-MARNE
77470,tournan-en-brie,77220,SEINE-ET-MARNE
77486,vaudoy-en-brie,77141,SEINE-ET-MARNE
78123,carrieres-sous-poissy,78955,YVELINES
78147,chaufour-les-bonnieres,78270,YVELINES
78264,gambaiseuil,78490,YVELINES
78335,limay,78520,YVELINES
78367,mareil-marly,78750,YVELINES
78451,nezel,78410,YVELINES
78460,oinville-sur-montcient,78250,YVELINES
78472,orsonville,78660,YVELINES
78668,la-villeneuve-en-chevrie,78270,YVELINES
78677,villette,78930,YVELINES
77008,armentieres-en-brie,77440,SEINE-ET-MARNE
77099,chateau-landon,77570,SEINE-ET-MARNE
77146,croissy-beaubourg,77183,SEINE-ET-MARNE
77153,dammartin-en-goele,77230,SEINE-ET-MARNE
